ESNTL_NO,TRGET_BOOK_MASTR_CD,TRGET_BOOK_ONE_MASTR_CD,TRGET_BOOK_TWO_MASTR_CD,LON_FQ_CO,PBLT_VALUE,SCORE_VALUE,REGIST_DE
"5581788-5448424","5448424,5581788","5581788","5448424","10233","0.19648994796367059","0.0","20211020"
"5581788-5245643","5245643,5581788","5581788","5245643","9160","0.12482795273981004","0.0","20211020"
"5581788-3746485","3746485,5581788","5581788","3746485","8154","0.10096207421715389","0.0","20211020"
"5581788-5220784","5220784,5581788","5581788","5220784","7991","0.001477548692912093","0.0","20211020"
"5581788-3676788","3676788,5581788","5581788","3676788","7770","0.09503308423331418","0.0","20211020"
"5581788-5396544","5396544,5581788","5581788","5396544","7728","0.14081632653061224","0.0","20211020"
"5581788-3541426","3541426,5581788","5581788","3541426","7530","0.09067373110963935","0.0","20211020"
"5581788-3425818","3425818,5581788","5581788","3425818","7379","0.08687922386794453","0.0","20211020"
"5581788-3392650","3392650,5581788","5581788","3392650","6964","0.08475525156390722","0.0","20211020"
"5581788-3272507","3272507,5581788","5581788","3272507","6431","0.07964283945113192","0.0","20211020"
"6078845-6078846","6078845,6078846","6078845","6078846","381","0.6580310880829016","0.0","20211020"
"6078845-5220784","5220784,6078845","6078845","5220784","87","1.608643927960857E-5","0.0","20211020"
"6078845-5491289","5491289,6078845","6078845","5491289","37","0.0017902070834139733","0.0","20211020"
"6078845-5678862","5678862,6078845","6078845","5678862","36","0.0015178345560333923","0.0","20211020"
"6078845-5965665","5965665,6078845","6078845","5965665","31","0.003380588876772083","0.0","20211020"
"6078845-5707051","5707051,6078845","6078845","5707051","31","9.279492321968449E-4","0.0","20211020"
"6078845-5778871","5778871,6078845","6078845","5778871","31","0.001953248062503938","0.0","20211020"
"6078845-5693124","5693124,6078845","6078845","5693124","30","0.0016528014985400254","0.0","20211020"
"6078845-5577217","5577217,6078845","6078845","5577217","30","0.0012445550715619166","0.0","20211020"
"6078845-5406933","5406933,6078845","6078845","5406933","29","0.0018115942028985507","0.0","20211020"
"5686995-5623860","5623860,5686995","5686995","5623860","8835","0.29839908132937043","0.0","20211020"
"5686995-5521219","5521219,5686995","5686995","5521219","6854","0.20284107724178752","0.0","20211020"
"5686995-5776020","5686995,5776020","5686995","5776020","6088","0.3275231332042178","0.0","20211020"
"5686995-5453376","5453376,5686995","5686995","5453376","5775","0.14715250350363104","0.0","20211020"
"5686995-5400516","5400516,5686995","5686995","5400516","5425","0.1116829644879053","0.0","20211020"
"5686995-5357472","5357472,5686995","5686995","5357472","5140","0.09279150795226834","0.0","20211020"
"5686995-3913803","3913803,5686995","5686995","3913803","4918","0.08135918475383801","0.0","20211020"
"5686995-3762427","3762427,5686995","5686995","3762427","4600","0.07392408318066403","0.0","20211020"
"5686995-5220784","5220784,5686995","5686995","5220784","4536","8.387136617506261E-4","0.0","20211020"
"5686995-3724093","3724093,5686995","5686995","3724093","4163","0.06866237836054759","0.0","20211020"
"5581789-5646824","5581789,5646824","5581789","5646824","10258","0.4425748554663905","0.0","20211020"
"5581789-5480232","5480232,5581789","5581789","5480232","9303","0.3361882046834345","0.0","20211020"
"5581789-5435275","5435275,5581789","5581789","5435275","7829","0.2423013834297917","0.0","20211020"
"5581789-5383811","5383811,5581789","5581789","5383811","7400","0.18124372382375273","0.0","20211020"
"5581789-5729586","5581789,5729586","5581789","5729586","5424","0.2850086700646314","0.0","20211020"
"5581789-5220784","5220784,5581789","5581789","5220784","4955","9.161874325340284E-4","0.0","20211020"
"5581789-5400516","5400516,5581789","5581789","5400516","3576","0.07361811631497683","0.0","20211020"
"5581789-5357472","5357472,5581789","5581789","5357472","3566","0.06437636524470601","0.0","20211020"
"5581789-5521219","5521219,5581789","5581789","5521219","3545","0.10491269606392424","0.0","20211020"
"5581789-3913803","3913803,5581789","5581789","3913803","3542","0.058595817893065116","0.0","20211020"
"5698929-5220784","5220784,5698929","5698929","5220784","1967","3.6370144899988574E-4","0.0","20211020"
"5698929-5668706","5668706,5698929","5698929","5668706","1084","0.061381653454133635","0.0","20211020"
"5698929-3395679","3395679,5698929","5698929","3395679","1055","0.01639089567311427","0.0","20211020"
"5698929-5707051","5698929,5707051","5698929","5707051","1052","0.03149040620229293","0.0","20211020"
"5698929-3423096","3423096,5698929","5698929","3423096","928","0.01022623337410603","0.0","20211020"
"5698929-5671695","5671695,5698929","5698929","5671695","917","0.05104937927963035","0.0","20211020"
"5698929-3917073","3917073,5698929","5698929","3917073","901","0.016222834404652588","0.0","20211020"
"5698929-5390731","5390731,5698929","5698929","5390731","877","0.01450977796896198","0.0","20211020"
"5698929-5674475","5674475,5698929","5698929","5674475","811","0.027169179229480738","0.0","20211020"
"5698929-3768386","3768386,5698929","5698929","3768386","810","0.013516670560357774","0.0","20211020"
"3392650-3425818","3392650,3425818","3392650","3425818","27610","0.3250759413191419","0.0","20211020"
"3392650-3272507","3272507,3392650","3392650","3272507","27031","0.33475751721404867","0.0","20211020"
"3392650-3541426","3392650,3541426","3392650","3541426","23344","0.28110060810404","0.0","20211020"
"3392650-3676788","3392650,3676788","3392650","3676788","21190","0.2591700199361554","0.0","20211020"
"3392650-3746485","3392650,3746485","3392650","3746485","18599","0.2302910986466575","0.0","20211020"
"3392650-5245643","3392650,5245643","3392650","5245643","15533","0.21167604693312983","0.0","20211020"
"3392650-5220784","3392650,5220784","3392650","5220784","14285","0.002641319369071361","0.0","20211020"
"3392650-5396544","3392650,5396544","3392650","5396544","10521","0.1917091836734694","0.0","20211020"
"3392650-5448424","3392650,5448424","3392650","5448424","9902","0.19013421916703468","0.0","20211020"
"3392650-5581788","3392650,5581788","3392650","5581788","6964","0.1669063368804525","0.0","20211020"
"3665795-3692898","3665795,3692898","3665795","3692898","10721","0.4514105263157895","0.0","20211020"
"3665795-3630589","3630589,3665795","3665795","3630589","10647","0.43497977693344775","0.0","20211020"
"3665795-3726870","3665795,3726870","3665795","3726870","8572","0.3617030254441116","0.0","20211020"
"3665795-3754579","3665795,3754579","3665795","3754579","7215","0.3490059497895806","0.0","20211020"
"3665795-3836747","3665795,3836747","3665795","3836747","6538","0.30889161863365777","0.0","20211020"
"3665795-3913813","3665795,3913813","3665795","3913813","6173","0.29177104504419343","0.0","20211020"
"3665795-5245617","3665795,5245617","3665795","5245617","5604","0.2834311147076674","0.0","20211020"
"3665795-5354695","3665795,5354695","3665795","5354695","5315","0.27939862271986543","0.0","20211020"
"3665795-3464859","3464859,3665795","3665795","3464859","4897","0.273789556077379","0.0","20211020"
"3665795-5409176","3665795,5409176","3665795","5409176","4600","0.26160145586897177","0.0","20211020"
"6045918-5852314","5852314,6045918","6045918","5852314","447","0.04613955408753097","0.0","20211020"
"6045918-5770455","5770455,6045918","6045918","5770455","372","0.02670303639365444","0.0","20211020"
"6045918-5670909","5670909,6045918","6045918","5670909","334","0.017562309391103165","0.0","20211020"
